iter	RMSE
0	13837.89712
1	13159.12803
2	12514.17269
3	11899.85736
4	11305.09001
5	10753.10497
6	10224.98801
7	9726.908502
8	9245.46071
9	8794.272227
10	8370.655526
11	7970.330747
12	7578.404875
13	7221.209594
14	6872.916256
15	6535.95785
16	6217.157648
17	5922.988363
18	5634.023187
19	5370.148295
20	5118.612978
21	4873.898955
22	4640.776179
23	4422.097564
24	4216.310865
25	4014.055849
26	3822.548042
27	3642.640207
28	3468.275932
29	3308.833152
30	3160.596744
31	3016.611575
32	2878.085502
33	2747.074037
34	2627.192761
35	2509.703574
36	2399.616157
37	2296.017331
38	2194.297844
39	2102.675566
40	2015.119655
41	1933.900009
42	1853.430278
43	1775.075658
44	1705.001302
45	1636.225995
46	1571.064089
47	1509.656289
48	1451.726923
49	1394.47241
50	1344.338662
51	1294.107404
52	1247.280946
53	1204.66852
54	1164.954133
55	1126.064687
56	1089.173438
57	1055.278754
58	1023.290026
59	991.7009703
60	963.202745
61	935.6778709
62	910.5034459
63	885.5236154
64	862.9452998
65	842.3584654
66	822.0848596
67	802.6646981
68	781.3877004
69	766.2179623
70	750.5730479
71	737.386036
72	724.7701496
73	710.9758356
74	698.5999429
75	686.4258555
76	673.8591462
77	663.3583038
78	650.3973931
79	638.0543201
80	627.2732383
81	618.7080464
82	610.6144923
83	602.4255617
84	595.6590148
85	589.19633
86	582.6696137
87	576.1936279
88	570.4867777
89	565.4124146
90	557.9816201
91	552.1002659
92	543.3832875
93	537.1301933
94	530.0310268
95	525.4012996
96	521.3188017
97	517.0182294
98	513.2795146
99	510.2648843
100	506.6118082
101	502.8120353
102	498.6504316
103	495.607278
104	492.6482296
105	489.6635967
106	485.6832471
107	481.2374147
108	477.5550959
109	474.6669087
110	469.0109151
111	464.187669
112	461.8269945
113	458.7306091
114	456.0700021
115	451.8716727
116	449.5874705
117	445.537239
118	443.2102931
119	441.0466578
120	438.5961373
121	436.2162541
122	432.5783491
123	430.0769342
124	428.2913143
125	424.0537303
126	420.9637721
127	418.8917768
128	417.0813399
129	414.9393146
130	412.4286612
131	408.8517359
132	406.1773006
133	403.16458
134	401.4120707
135	399.4176297
136	396.4089584
137	394.9913474
138	393.1924303
139	390.4505188
140	388.343901
141	386.9637317
142	384.22302
143	382.4674237
144	380.9169758
145	378.9639491
146	377.3466283
147	375.6728573
148	374.4473314
149	372.0638174
150	370.1354127
151	368.3656092
152	367.218718
153	364.9123333
154	362.8309041
155	361.8464203
156	360.6001398
157	359.2955878
158	357.8936376
159	356.8618096
160	355.72849
161	353.0914653
162	351.2085612
163	349.6791334
164	348.5444543
165	347.457256
166	346.4747512
167	344.6118145
168	343.0228918
169	342.209846
170	340.442583
171	339.0804839
172	337.1753231
173	336.0429004
174	334.3803332
175	333.2936161
176	331.7223963
177	330.1911338
178	329.2735118
179	327.2070887
180	325.45492
181	323.8258013
182	322.8447148
183	322.006574
184	320.8925793
185	319.4013862
186	318.4806646
187	317.5604281
188	316.5077445
189	314.9224357
190	313.1959054
191	312.2920764
192	311.4771238
193	310.024026
194	308.9869035
195	307.7475434
196	307.0139652
197	305.8483058
198	305.0943345
199	303.8764009
200	302.7726381
201	301.8858891
202	301.055746
203	299.6766408
204	298.8147355
205	297.9752517
206	297.1929811
207	296.4209678
208	294.2479651
209	293.4533167
210	292.1496133
211	291.0357268
212	289.8618251
213	288.9432917
214	287.6601793
215	286.9306865
216	286.323305
217	284.5288891
218	283.224255
219	282.3148513
220	281.4175201
221	279.9149492
222	279.2570294
223	278.4967779
224	277.5014561
225	276.7846892
226	275.91668
227	274.876068
228	274.2964291
229	273.7464382
230	272.4777519
231	272.0720304
232	271.2727313
233	270.5077662
234	269.0353686
235	267.6924478
236	267.0681852
237	266.5389362
238	265.8756218
239	264.5350304
240	263.9165486
241	263.4485687
242	262.6110796
243	262.0208812
244	260.8008945
245	260.2923492
246	259.3553636
247	258.397206
248	257.6550629
249	257.0797191
250	256.5536346
251	256.065353
252	255.4140036
253	254.1399095
254	253.3157727
255	252.7555002
256	252.0424005
257	251.1771933
258	250.7122651
259	250.2121291
260	249.2927076
261	248.4035024
262	247.5449164
263	247.0607374
264	246.4820237
265	245.5532204
266	244.9837532
267	244.4818142
268	243.5551387
269	242.533459
270	242.1088139
271	241.8245563
272	241.4288272
273	240.9383819
274	240.0313754
275	239.5042405
276	238.5209983
277	238.0556173
278	237.5611422
279	237.0725906
280	236.480955
281	236.1862549
282	235.8065586
283	235.1602217
284	234.1587395
285	233.8393859
286	233.071496
287	232.4409336
288	231.9917598
289	231.5581849
290	231.2428917
291	230.8334695
292	230.2447309
293	229.9079259
294	229.5273116
295	229.4057782
296	229.2022946
297	228.8255238
298	228.6992873
299	228.2472932
300	228.1209542
301	227.4235408
302	227.3021467
303	227.1860602
304	226.5821939
305	226.2707921
306	225.6834233
307	224.9434946
308	224.077606
309	223.513273
310	222.8980868
311	222.3536772
312	221.8840038
313	221.2575109
314	220.8387318
315	220.5383928
316	220.2150924
317	219.9251211
318	219.5724171
319	218.9943201
320	218.3440665
321	217.8568293
322	217.6908416
323	217.2705655
324	216.9988639
325	216.3621689
326	216.1464064
327	215.9524908
328	215.3753758
329	214.7936523
330	214.3774296
331	213.9104702
332	213.6617831
333	212.7985902
334	212.2375174
335	211.825793
336	211.5476032
337	211.3046887
338	210.7788325
339	210.6451882
340	210.1200144
341	209.7740319
342	209.6469726
343	209.1093387
344	208.815594
345	208.0075146
346	207.8068647
347	207.7160553
348	207.2479837
349	207.0836371
350	206.9154486
351	206.5472175
352	206.0715174
353	205.6316783
354	205.298442
355	204.5706586
356	204.0657075
357	203.7188014
358	203.2469053
359	203.1457953
360	202.7059723
361	202.6088526
362	202.5156637
363	202.4262097
364	202.1354639
365	201.4032096
366	201.0286844
367	200.8116342
368	200.314214
369	199.7307244
370	199.2956764
371	199.0561063
372	198.775145
373	198.4660307
374	198.1484405
375	197.8906223
376	197.4913635
377	197.099356
378	197.0150059
379	196.5705497
380	196.3141873
381	195.8437126
382	195.4638712
383	195.0857608
384	194.8746361
385	194.532419
386	194.2918021
387	194.1555952
388	193.8788008
389	193.6756061
390	193.4528952
391	193.2450379
392	192.6663919
393	192.3463585
394	191.8921468
395	191.4880031
396	191.2456254
397	190.9981758
398	190.6458907
399	190.3418121
400	189.977227
401	189.3934972
402	189.1056692
403	188.6739729
404	188.493943
405	188.2826076
406	188.0871064
407	187.6976731
408	187.3726563
409	187.104073
410	186.874888
411	186.6465741
412	186.4315528
413	186.1448776
414	185.7158038
415	185.3590559
416	185.1747124
417	184.9203456
418	184.7346812
419	184.2018049
420	183.876217
421	183.5714596
422	183.3386608
423	183.1293818
424	182.7625478
425	182.4069782
426	182.1925855
427	181.8056462
428	181.5313032
429	181.0040361
430	180.7577389
431	180.5710781
432	180.1808561
433	179.7024447
434	179.3700999
435	179.1588408
436	178.8686075
437	178.3334139
438	177.8626738
439	177.6578339
440	177.3334369
441	176.9902459
442	176.4609387
443	176.1655188
444	176.0272356
445	175.8852659
446	175.7244777
447	175.5515818
448	175.3537312
449	175.0890047
450	174.9396682
451	174.6379619
452	174.4641256
453	174.0142002
454	173.6883633
455	173.5212834
456	173.3033033
457	172.8237116
458	172.5599274
459	172.3285634
460	172.0646007
461	171.6637101
462	171.5171025
463	171.1273847
464	170.8423544
465	170.7421996
466	170.4507272
467	170.1996803
468	170.0605573
469	169.742533
470	169.6073472
471	169.3473358
472	169.1830635
473	169.0102536
474	168.6580776
475	168.4004063
476	168.1121814
477	167.9652902
478	167.7406063
479	167.5164696
480	167.2420087
481	167.0924985
482	166.7031426
483	166.4612154
484	166.0651783
485	165.7966929
486	165.5541312
487	165.3663587
488	165.1027196
489	164.9044411
490	164.5937671
491	164.3563558
492	164.2183394
493	164.027408
494	163.6826062
495	163.5447241
496	163.3082867
497	163.1416678
498	162.7873811
499	162.6678718
500	162.4135557
501	162.1503245
502	161.9173406
503	161.749263
504	161.4850718
505	161.2949902
506	161.1207218
507	160.9068232
508	160.7573019
509	160.5468578
510	160.3977818
511	160.286138
512	160.0740329
513	159.7721966
514	159.5618827
515	159.3536285
516	159.1267033
517	158.9685645
518	158.7483162
519	158.6940302
520	158.4223536
521	158.3697686
522	158.2514098
523	158.1340013
524	158.0161676
525	157.8235217
526	157.5073435
527	157.3387114
528	157.1917238
529	157.092174
530	156.7314574
531	156.5631587
532	156.4432005
533	156.209596
534	156.1596534
535	155.9045733
536	155.7098727
537	155.5455429
538	155.3754708
539	155.1789516
540	155.0739166
541	154.8719424
542	154.6845775
543	154.4634098
544	154.4148872
545	154.1912125
546	154.0433355
547	153.8926734
548	153.7528134
549	153.5154097
550	153.3433144
551	153.1777162
552	153.0380066
553	152.9113616
554	152.7268244
555	152.5085234
556	152.3890429
557	152.1494583
558	151.9800367
559	151.8647463
560	151.5439936
561	151.4369067
562	151.1574027
563	150.998179
564	150.8425118
565	150.6268191
566	150.4187163
567	150.2377951
568	150.00446
569	149.9002367
570	149.8108114
571	149.4567978
572	149.2881063
573	149.1033638
574	148.9763001
575	148.8304248
576	148.6859531
577	148.5830053
578	148.4341869
579	148.2914264
580	148.0600837
581	147.8394839
582	147.67779
583	147.5476899
584	147.4251034
585	147.202798
586	146.9668159
587	146.8223026
588	146.595255
589	146.3426326
590	146.2037941
591	146.0853205
592	145.9951079
593	145.8648435
594	145.771751
595	145.5731973
596	145.3565722
597	145.1637435
598	144.951646
599	144.809132
600	144.5915426
601	144.4376435
602	144.3258297
603	144.2079211
604	144.0987461
605	143.9225517
606	143.8464924
607	143.6812778
608	143.5690167
609	143.4217282
610	143.223551
611	143.0950262
612	143.0113675
613	142.8888415
614	142.8157849
615	142.6331648
616	142.5208559
617	142.2729893
618	142.16967
619	142.0653411
620	141.8785327
621	141.6979238
622	141.6011642
623	141.5083817
624	141.3858811
625	141.2938183
626	141.1487552
627	141.0297722
628	140.7397302
629	140.610807
630	140.5024718
631	140.2680259
632	140.0084341
633	139.8287131
634	139.6813641
635	139.5784124
636	139.363947
637	139.1915232
638	139.0247565
