iter	Passed	Remaining
0	2	2760
1	5	2680
2	7	2442
3	9	2243
4	10	2103
5	12	2006
6	13	1956
7	15	1939
8	17	1912
9	19	1897
10	21	1965
11	23	1943
12	25	1926
13	26	1879
14	28	1855
15	29	1836
16	31	1820
17	33	1811
18	35	1810
19	37	1840
20	39	1820
21	40	1795
22	41	1773
23	43	1762
24	45	1757
25	46	1754
26	48	1748
27	50	1736
28	51	1725
29	55	1807
30	57	1795
31	58	1782
32	60	1766
33	61	1747
34	62	1735
35	64	1725
36	66	1719
37	68	1736
38	70	1732
39	71	1726
40	73	1718
41	74	1710
42	76	1704
43	78	1701
44	80	1699
45	81	1698
46	84	1709
47	86	1715
48	88	1718
49	90	1720
50	92	1715
51	93	1712
52	95	1711
53	97	1705
54	99	1712
55	101	1709
56	102	1701
57	104	1695
58	105	1688
59	107	1684
60	109	1683
61	110	1679
62	112	1677
63	115	1682
64	116	1678
65	118	1671
66	119	1664
67	121	1658
68	122	1654
69	124	1654
70	126	1651
71	127	1647
72	131	1669
73	132	1660
74	133	1651
75	135	1642
76	136	1634
77	137	1626
78	139	1620
79	140	1613
80	141	1608
81	143	1601
82	144	1593
83	145	1586
84	147	1586
85	148	1579
86	149	1572
87	151	1565
88	152	1559
89	153	1555
90	155	1549
91	156	1544
92	157	1539
93	159	1533
94	160	1527
95	162	1529
96	163	1523
97	164	1517
98	166	1511
99	167	1504
100	168	1499
101	169	1496
102	171	1492
103	172	1488
104	174	1483
105	175	1478
106	176	1475
107	178	1474
108	179	1471
109	181	1467
110	183	1465
111	184	1463
112	186	1460
113	187	1456
114	188	1453
115	189	1447
116	191	1443
117	192	1439
118	194	1438
119	195	1434
120	196	1429
121	197	1424
122	199	1420
123	200	1416
124	201	1413
125	203	1409
126	204	1406
127	205	1402
128	207	1399
129	208	1395
130	210	1395
131	211	1392
132	212	1387
133	214	1383
134	215	1380
135	216	1376
136	218	1373
137	219	1370
138	220	1366
139	222	1363
140	223	1360
141	224	1356
142	225	1354
143	227	1350
144	228	1347
145	229	1344
146	231	1340
147	232	1337
148	233	1335
149	235	1331
150	236	1328
151	237	1326
152	238	1322
153	240	1319
154	241	1317
155	242	1313
